id,sample,nitro_mg,nitro_perc,nitro_corr,carbon_mg,carbon_perc,carbon_corr
sel_eur,1,0.106,3.44,3.4388304,1.301,42.07,42.0556962
sel_eur,2,0.102,3.29,3.2888814,1.267,40.95,40.936077
sel_eur,3,0.112,3.66,3.6587556,1.262,41.33,41.3159478
sel_eur,4,0.14,4.49,4.4884734,1.286,41.13,41.1160158
sel_eur,5,0.09,2.83,2.8290378,1.246,39.08,39.0667128
sel_rio,1,0.109,3.44,3.4388304,1.234,38.97,38.9567502
sel_rio,2,0.07,2.06,2.0592996,1.375,40.48,40.4662368
sel_rio,3,0.077,2.53,2.5291398,1.261,41.55,41.535873
sel_rio,4,0.093,2.86,2.8590276,1.299,39.87,39.8564442
sel_rio,5,0.082,2.7,2.699082,1.205,39.81,39.7964646
sel_swi,1,0.053,1.71,1.7094186,1.148,36.82,36.8074812
sel_swi,2,0.033,1.07,1.0696362,1.132,36.35,36.337641
sel_swi,3,0.037,1.2,1.199592,1.212,39.19,39.1766754
sel_swi,4,0.049,1.55,1.549473,1.184,37.24,37.2273384
sel_swi,5,0.058,1.84,1.8393744,1.208,38.39,38.3769474
sel_ate,1,0.077,2.51,2.5091466,1.257,40.77,40.7561382
sel_ate,2,0.042,2.85,2.849031,0.57,39.02,39.0067332
sel_ate,3,0.021,3.23,3.2289018,0.225,34.85,34.838151
sel_ate,4,0.084,2.55,2.549133,1.353,41.34,41.3259444
sel_umb,1,0.039,1.24,1.2395784,1.31,42.14,42.1256724
sel_umb,2,0.046,1.4,1.399524,1.349,41.31,41.2959546
sel_umb,3,0.054,1.74,1.7394084,1.273,40.72,40.7061552
sel_umb,4,0.052,1.69,1.6894254,1.306,42.35,42.335601
sel_umb,5,0.069,2.09,2.0892894,1.321,40.2,40.186332
sel_oax,1,0.078,2.51,2.5091466,1.229,39.41,39.3966006
sel_oax,2,0.068,2.21,2.2092486,1.189,38.52,38.5069032
sel_oax,3,0.062,2.04,2.0393064,1.125,36.86,36.8474676
sel_oax,4,0.09,2.75,2.749065,1.221,37.22,37.2073452
sel_oax,5,0.086,2.8,2.799048,1.199,39.04,39.0267264
sel_anc,1,0.07,2.2,2.199252,1.33,41.82,41.8057812
sel_anc,2,0.07,2.25,2.249235,1.272,40.69,40.6761654
sel_anc,3,0.058,1.9,1.899354,1.219,40.18,40.1663388
sel_anc,4,0.086,2.65,2.649099,1.307,40.4,40.386264
sel_anc,5,0.089,2.77,2.7690582,1.266,39.21,39.1966686
sel_art,1,0.09,2.75,2.749065,1.24,37.81,37.7971446
sel_art,2,0.088,2.79,2.7890514,1.263,39.94,39.9264204
sel_art,3,0.079,2.39,2.3891874,1.163,35.24,35.2280184
sel_art,4,0.078,2.41,2.4091806,1.229,37.91,37.8971106
sel_art,5,0.073,2.39,2.3891874,1.19,38.95,38.936757
sel_bom,1,0.087,2.77,2.7690582,1.247,39.52,39.5065632
sel_bom,2,0.097,3.06,3.0589596,1.207,38,37.98708
sel_bom,3,0.102,3.2,3.198912,1.253,39.41,39.3966006
sel_bom,4,0.092,2.95,2.948997,1.24,39.94,39.9264204
sel_bom,5,0.103,3.29,3.2888814,1.26,40.11,40.0963626
sel_str,1,0.055,1.73,1.7294118,1.237,38.7,38.686842
sel_str,2,0.067,2.12,2.1192792,1.136,35.74,35.7278484
sel_str,3,0.075,2.29,2.2892214,1.296,39.59,39.5765394
sel_str,4,0.065,2.02,2.0193132,1.14,35.47,35.4579402
sel_sura,1,0.064,1.96,1.9593336,1.335,40.89,40.8760974
sel_sura,2,0.064,1.99,1.9893234,1.285,39.88,39.8664408
sel_sura,3,0.066,2.01,2.0093166,1.366,41.41,41.3959206
sel_sura,4,0.075,2.29,2.2892214,1.357,41.58,41.5658628
sel_sura,5,0.064,2,1.99932,1.355,42.16,42.1456656
lom_hop,1,0.086,2.62,2.6191092,1.412,42.86,42.8454276
lom_hop,2,0.085,2.66,2.6590956,1.349,42.31,42.2956146
lom_hop,3,0.112,3.62,3.6187692,1.314,42.52,42.5055432
lom_hop,4,0.14,4.35,4.348521,1.329,41.27,41.2559682
lom_hop,5,0.132,4.14,4.1385924,1.357,42.71,42.6954786
dip_str,1,0.127,4.07,4.0686162,1.291,41.19,41.1759954
dip_str,2,0.125,4.06,4.0586196,1.271,41.4,41.385924
dip_str,3,0.123,4.06,4.0586196,1.229,40.62,40.6061892
dip_str,4,0.138,4.22,4.2185652,1.295,39.67,39.6565122
dip_str,5,0.123,3.77,3.7687182,1.346,41.31,41.2959546
pip_uno,1,0.123,3.93,3.9286638,1.395,44.48,44.4648768
pip_uno,2,0.13,4.04,4.0386264,1.414,43.98,43.9650468
pip_uno,3,0.114,3.66,3.6587556,1.326,42.54,42.5255364
pip_uno,4,0.12,3.89,3.8886774,1.305,42.39,42.3755874
pip_uno,5,0.115,3.54,3.5387964,1.287,39.68,39.6665088
cyc_sem,1,0.077,2.42,2.4191772,1.35,42.38,42.3655908
cyc_sem,2,0.084,2.75,2.749065,1.279,41.92,41.9057472
cyc_sem,3,0.101,3.06,3.0589596,1.374,41.73,41.7158118
cyc_sem,4,0.105,3.21,3.2089086,1.391,42.45,42.435567
cyc_sem,5,0.113,3.5,3.49881,1.351,41.97,41.9557302
pip_pap,1,0.094,3.06,3.0589596,1.309,42.78,42.7654548
pip_pap,2,0.113,3.46,3.4588236,1.404,43.17,43.1553222
pip_pap,3,0.137,4.29,4.2885414,1.393,43.51,43.4952066
pip_pap,4,0.132,4.18,4.1785788,1.337,42.48,42.4655568
pip_pap,5,0.112,3.52,3.5188032,1.384,43.56,43.5451896
the_cur,1,0.106,3.3,3.298878,1.253,38.99,38.9767434
the_cur,2,0.094,3.12,3.1189392,1.185,39.11,39.0967026
the_cur,3,0.099,3.23,3.2289018,1.182,38.54,38.5268964
the_cur,4,0.096,3.12,3.1189392,1.134,36.78,36.7674948
the_cur,5,0.115,3.8,3.798708,1.188,39.11,39.0967026
bul_por,1,0.119,3.81,3.8087046,1.342,42.76,42.7454616
bul_por,2,0.14,4.6,4.598436,1.287,42.12,42.1056792
bul_por,3,0.109,3.62,3.6187692,1.268,42.25,42.235635
bul_por,4,0.151,4.75,4.748385,1.315,41.35,41.335941
bul_por,5,0.132,4.07,4.0686162,1.405,43.23,43.2153018
